fleschscore,highwot,lowwot,polarity,reponsetime,subjectivity,url,wordcount,yeararchive
81.8379151376147,89,50,0.19776859504132235,0.003371,0.5448347107438015,http://www.usmagazine.com/entertainment/news/bachelorette-jojo-looks-so-different-in-this-vintage-clip-w167529,327,1998
49.97926547342536,89,50,0.053832771046458214,0.026699,0.3438191774085626,https://www.usmagazine.com/services-privacypolicy/,5067,1998
61.25181258549932,89,50,0.14312596006144393,0.026187,0.3735791090629801,https://www.usmagazine.com/services-adchoices/,516,1998
51.160263157894775,89,50,-0.01645021645021645,0.025795,0.22965367965367964,https://www.usmagazine.com/services-datapolicy/,228,1998
52.52535440801104,64,11,0.05567740083046208,0.199601,0.38957827886399304,http://www.americanmediainc.com:80/terms-and-conditions,4630,2001
74.85573248407647,89,50,0.1275009410878976,0.027452,0.3630466152205284,https://www.usmagazine.com/services-faq/,471,1998
57.4915,38,30,0.06684142173615859,0.33869,0.5342736035893931,http://nationalreport.net/5-great-ways-entertain-guests-thanksgiving-celebration/,800,2007
66.15799195544557,38,30,0.14660714285714285,0.337697,0.49863095238095234,http://nationalreport.net/study-claims-women-abandon-feminism-finding-meaningful-relationships-men/,606,2007
67.93895894428155,38,30,0.13179464285714287,0.318949,0.4551478045763759,http://nationalreport.net/5-new-reasons-unhappy-vagina/,660,2007
54.98333333333335,38,30,0.22106227106227105,0.339114,0.3888278388278387,http://nationalreport.net/christopher-plummer-to-play-role-of-roy-moore-in-alabama-senate-race/,240,2007
78.85352941176473,38,30,0.05934592523878239,0.292734,0.5722222222222222,http://nationalreport.net/35-year-old-man-sues-mother-evicted-basement-home/,612,2007
82.70083333333335,38,30,0.1068627450980392,0.36419,0.5318627450980393,http://nationalreport.net/alex-jones-suggests-flying-false-flag-half-staff-texas-church-shooting-victims/,201,2007
68.97699500728109,38,30,0.041375341961279455,0.344028,0.39916877104377096,http://nationalreport.net/study-shows-majority-americans-believe-trumps-twitter-intrinsically-linked-presidency/,418,2007
57.65945093457945,38,30,0.13093382807668522,0.32179,0.4550680272108843,http://nationalreport.net/george-zimmerman-set-release-childrens-book-series/,321,2007
67.99663461538462,38,30,0.1227813852813853,0.313755,0.3520979020979021,http://nationalreport.net/study-shows-teen-pregnancy-drops-significantly-after-age-19/,325,2007
64.4830463576159,38,30,-0.11666666666666668,0.319961,0.23333333333333336,http://nationalreport.net/us-soccer-team-announces-boycott-of-world-cup-in-russia/,151,2007
70.29782094594597,38,30,0.052649649201373334,0.337363,0.5871846544260337,http://nationalreport.net/actress-comes-forward-with-shocking-allegation-i-was-not-sexually-assaulted-by-harvey-weinstein/,333,2007
70.41272551296943,38,30,0.1404358353510896,0.318214,0.46105730427764313,http://nationalreport.net/trump-world-record-holder-golf/,574,2007
75.98097774244836,38,30,0.09761514761514767,0.310837,0.40686888186888187,http://nationalreport.net/atlanta-falcons-win-popular-vote-still-lose-super-bowl-li/,296,2007
73.35739945333856,38,30,0.1041212121212121,0.321242,0.4505151515151515,http://nationalreport.net/punxsutawney-phil-predicts-four-more-years-of-snowflakes/,197,2007
59.366796460177014,38,30,0.04743589743589744,0.328513,0.4438644688644689,http://nationalreport.net/trump-to-limit-all-intelligence-briefings-to-140-characters/,339,2007
76.03625000000002,38,30,0.06079545454545454,0.34961,0.29699675324675323,http://nationalreport.net/category/business/,180,2007
74.28078947368422,38,30,0.194370361781076,0.501031,0.569740775097918,http://nationalreport.net/trump-to-nominate-chris-christie-to-supreme-food-court/,342,2007
54.90986838340487,38,30,0.10076923076923078,0.345762,0.5037179487179487,http://nationalreport.net/man-shouts-allahu-akbar-before-photobomb/,233,2007
76.46126947040501,38,30,0.05479797979797977,0.335328,0.5141414141414141,http://nationalreport.net/area-mall-offering-10-discount-to-all-non-active-shooters/,321,2007
58.78180645161294,38,30,0.13827875023527197,0.337435,0.5908808582721626,http://nationalreport.net/flint-tap-water-rated-more-trustworthy-than-hillary-clinton/,279,2007
71.12982261640802,38,30,-0.07237819370172312,0.31819,0.5420401493930906,http://nationalreport.net/man-shouts-allahu-akbar-before-blowing-up-friends-inbox/,410,2007
64.94283870967742,38,30,0.07042621015348287,0.294836,0.35321723730814636,http://nationalreport.net/wounded-social-justice-warrior-project-rebuilds-hope-sense-of-purpose/,600,2007
62.148846153846165,38,30,0.0658008658008658,0.336604,0.426543179043179,http://nationalreport.net/trojan-name-new-ultra-thin-skin-condom-donald-trump/,288,2007
